Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-A,0,mUlaBUta-SabdaH,fundamental terms,terms related to fundamental principles of Ayurveda,
2,2,SAT-A.1,1,AyurvedaH,science of life,"science where advantageous and disadvantageous, happy and unhappy (states of) life along with what is good and bad for life, its measurement and life itself are described",
3,3,SAT-A.2,2,AyuH,life; lifespan,"combination of the body, sense organs, mind and soul",
4,4,SAT-A.3,3,dhAri,that which sustains,the sustenance of life or the aspect of life which prevents decay,
5,5,SAT-A.4,3,jIvitam,life,that which keeps the body alive,
6,6,SAT-A.5,3,nityaga,incessant,continuous or uninterrupted process  of life,
7,7,SAT-A.6,3,anubandhaH,continuity of life,"continuity of result in the form of life due to the association of body, sense organs, mind and soul; which transmigrates from one body to another",
8,8,SAT-A.7,2,AyuH-prakAraH,types of life,"Four patterns of lifestyle viz., wholesome, unwholesome, happy and unhappy",
9,9,SAT-A.8,8,hitAyuH,wholesome life,lifestyle which is beneficial to the self and the society,
10,10,SAT-A.9,8,ahitAyuH,unwholesome life,lifestyle which is neither beneficial for the society nor for the self,
11,11,SAT-A.10,8,suKAyuH,pleasant life,a lifestyle which provides comfort for the self,
12,12,SAT-A.11,8,duHKAyuH,unpleasant life,a lifestyle which results in sorrow/pain,
13,13,SAT-A.12,2,Ayurveda-svarUpam,the construct of Ayurveda,"the science and knowledge of life, which describes all substances of the universe in terms of their being beneficial, harmful, pleasant and unpleasant to life.",
14,14,SAT-A.13,13,trisUtram/ triskandhaH,three basic aphorisms of Ayurveda,"A synonym of�?yurveda.  The entire subject matter of ?yurveda�can be categorized into three categories viz., 1.�hetu (causes) 2.�li?ga�</em<(signs and symptoms) and 3.�au?adha�(therapeutics)",
15,15,SAT-A.14,13,aShTA~ggAyurvedaH,eight clinical branches of Ayurveda,"eight clinical specialties viz.,�k?yacikitsa,�b?lacikits?,�grahacikits?,�??l?kyatantra,�?alyatantra,�vi?acikits,�ras?yana and�v?j?kara?a",
16,16,SAT-A.15,15,kAyacikitsA,general medicine,"one of the eight branches of�?yurveda�which deals with the cause, conditions, symptoms, progress and cure of the ailments afflicting the body. The treatment is usually aimed at correcting�k?y?gni�and thereby alleviating the diseases mostly physic",
17,17,SAT-A.16,15,kaumAraBRutyam,paediatrics,one among the eight branches of�?yurveda�which deals with health and morbidity of the children and the nursing mother,
18,18,SAT-A.17,15,agadatantram,toxicology,one of the eight branches of�?yurveda�which deals with the effects of the organic and inorganic poisons on the human body and their management.,
19,19,SAT-A.18,15,grahacikitsA,treatment of possession/ psychiatry,one of the eight branches of�?yurveda�which deals with treatment of possession and other physical and mental illness,
20,20,SAT-A.19,15,UrdhvA~ggacikitsA,treatment of disorders above clavicle,"one of the eight branches of�?yurveda�which deals with diseases of eye, ear, nose, throat and head. [also called as sh?l?kyatantra]",
21,21,SAT-A.20,15,SalyacikitsA,treatment to remove foreign body/ surgery,"one of the eight branches of�?yurveda�which deals with removal of foreign body, wounds and other surgical conditions",
22,22,SAT-A.21,15,jarAcikitsA,geriatrics and rejuvenation therapy,one of the eight divisions of�?yurveda�which deals with retardation of ageing changes and sustaining healthy cognitive and intellectual faculties till the end of complete human life span,
23,23,SAT-A.22,15,vRuShacikitsA,aphrodisology,one of the eight branches of�?yurveda�dealing with sustenance of sexual vigour and obtaining healthy progeny,
24,24,SAT-A.23,2,darSanam,philosophy,way of seeing and understanding the world.,
25,25,SAT-A.24,2,SAstram,branch of knowledge,"classic, scripture, science, branch of knowledge; synonym of�?yurveda",
26,26,SAT-A.25,25,vij~jAnam,applied knowledge,systematic and perfect knowledge,
27,27,SAT-A.26,25,vidhiH,mandatory injunction,mandatory injunction prescribed in text,
28,28,SAT-A.27,25,sUtram,aphorism,short sentence or aphoristic rule,
29,29,SAT-A.28,25,tantrayuktiH,criteria for critical evaluation of technical texts,"devices, that are necessary to understand, criticise and evaluate a technical treatise",
30,30,SAT-A.29,29,atideSaH,extended application of the already stated concept; analogy,such statements of the author permitting incorporation of useful knowledge described in a different context,
31,31,SAT-A.30,29,atItAvekShaNam,looking into the past,consideration of earlier observations; methods of referring back to the earlier portion of the book for information on a particular subject without which the present topic cannot be understood properly,
32,32,SAT-A.31,29,adhikaraNam,context of discussion,the main theme on which the entire science is build; or context of elucidation or discussion,
33,33,SAT-A.32,29,anAgatavekShaNam,the statement that points to prospective reference,"situation wherein the author at times introduces certain topics in advance, which are described later in detail elsewhere",
34,34,SAT-A.33,29,anumataH,"not refused, thus accepted",statements of agreement with the opinion of others,
