Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-B,0,SArIraH,related to body,the study of structure and function of the body,
2,2,SAT-B.1,1,SarIraH,body,indicative of the continuous process of decay of the bodily tissues,
3,3,SAT-B.2,2,dehaH,body,indicative of growth in the bodily tissues,
4,4,SAT-B.3,2,sarvA~ggaH,whole body,"whole body comprising limbs, trunk, head and neck",
5,5,SAT-B.4,2,SarIra-vRuddhikara-BAvaH,factors responsible for the growth of the body,"there are four factors for growth of body:- k?layoga (appropriate time),�svabh?vasa?siddhi (innate nature),�?h?rasau??hvam (proper nutrition), avigh?ta (absence of impairing factors)",
6,6,SAT-B.5,2,SarIra-sampat,normal composition of body,a state of all the�dh?t?s�of the body being in normal state,
7,7,SAT-B.6,2,SarIropakAraka,factors which are beneficial to the body,factors which posess properties similar to the body tissues or those which enhance the body tissues when administered within the body,
8,8,SAT-B.7,2,ShaDa~ggam,six divisions of the body,"four limbs, trunk and the head and neck",
9,9,SAT-B.8,2,a~gga-pradeSaH,body regions,division of the body in to various regions for descriptive purposes,
10,10,SAT-B.9,9,gAtrapa~jcakam,five prominences of developing foetus,five prominences in the developing foetus corresponding to the four limbs and head,
11,11,SAT-B.10,9,adhaHkAyaH,part of body below the waist,lower half of the body,
12,12,SAT-B.11,9,UrdhvakAyaH,part of body above the waist,upper half of the body,
13,13,SAT-B.12,9,Urdhvajatru,part of body above the clavicle,head and neck,
14,14,SAT-B.13,9,UrdhvA~ggam,head and neck,generally used as a synonym of head,
15,15,SAT-B.14,8,SiraH/ uttamA~ggam,head,"site where pr??a and indriya are situated, the uppermost and chief part of the body",
16,16,SAT-B.15,15,kapAlaH,skull/cranium,bones forming the skull,
17,17,SAT-B.16,15,Sa~gKaH,temple,area on the sides of the forehead,
18,18,SAT-B.17,15,lalATam/alikam,fore-head,the anterior part of the head below the hairline and above the eyes,
19,19,SAT-B.18,15,akShi,eye,the organ of vision,
20,20,SAT-B.19,19,dRuShTi-golakaH/ nayana-budbudaH/ akShi-golakam,eyeball,the globe of the eye,
21,21,SAT-B.20,19,akShikUTaH,orbit,the bony pyramid-shaped cavity of the skull that contains and protects the eyeball,
22,22,SAT-B.21,19,netrakoSaH/ akShikoShaH/ netra-CAdanam /akShipuTam/ vartma /akShivartma/ akShivartmakoShaH,eyelid,thin fold of skin that covers and protects the human eye,
23,23,SAT-B.22,19,netrasandhiH,junctions of the eye,"the junction points in the eye such as sclero-corneal junction, the medial and lateral canthi, the junction between eye lashes and eyelids, pupilary margins etc.",
24,24,SAT-B.23,19,kanInikA/ akShikanInikA,inner canthus,medial angle of eye; the angle at medial side of the slit between the eyelids,
25,25,SAT-B.24,19,netra-antapradeSaH,outer canthus,the angle at the outer end of the slit between the eye lids,
26,26,SAT-B.25,19,pakShmavartma-sandhiH,junction of cilia with lid margin,point of junction of cilia with lid margin,
27,27,SAT-B.26,19,vartma-Sukla-sandhiH,junction of palpebral and bulbar conjunctiva,it denotes the area where the eyelid and the sclera of the eye meet,
28,28,SAT-B.27,19,Sukla-kRuShNa-sandhiH,sclero-corneal junction/limbus corneae,circular junction where the cornea meets the sclera of the eye,
29,29,SAT-B.28,19,kRuShN-dRuShTi-sandhiH,pupillary margin,the inner border of the iris that forms the edge of the pupil,
30,30,SAT-B.29,19,vartmasandhiH,palpebral junction,meeting point of upper and lower eyelids,
31,31,SAT-B.30,19,antau,canthi,outer and inner angels of the eye; the angle at either side of the slit between the eyelids,
32,32,SAT-B.31,19,apA~ggasandhiH,outer junction of the eye lids,the junction at the angle at lateral side of the slit between the eyelids,
33,33,SAT-B.32,19,apA~ggam/apA~ggaH,outer canthus,the angle at lateral side of the slit between the eyelids,
34,34,SAT-B.33,19,tejojalam,aqueous humor,transperant liquid contained in the anterior and posterior chambers of the eye,
35,35,SAT-B.34,19,netranADI,nasolacrimal duct,a duct connecting nose to the lacrimal apparatus,
36,36,SAT-B.35,19,aSru,lacrimal fluids (tears),the liquid excreted into the eyes by the lacrimal glands,
37,37,SAT-B.36,19,aSrumArgaH,lacrimal apparatus,structures concerned with secretion and conduction of tears,
38,38,SAT-B.37,19,aSruvAhinyau,lacrimal canaliculi,small canals concerned with conduction of tears from the lacrimal puncta to the lacrimal sac,
39,39,SAT-B.38,19,jalavAhinyaH sirAH,lacrimal ducts,a duct that conveys tears from the lacrimal lake to the lacrimal sac,
40,40,SAT-B.39,19,unmeShiNyaH sirAH,nerves of the levator palpebrae superioris,nerves of the levator palpebrae superioris from oculomotor,
41,41,SAT-B.40,19,BrUH,eye brows,the arch of hairs growing on the raised elevation at the junction of the forehead and the orbit,
42,42,SAT-B.41,19,akShipakShma/ pratibAlAH/ akShipakShmANi/ pakShmamaNDalam,eye lashes,stiff hair on the margin of the eyelid,
43,43,SAT-B.42,19,pakShmAgrANi,free end of eye lashes,free end of a stiff hair on the margin of the eyelid,
44,44,SAT-B.43,19,pakShmASayaH,root of eye lashes,root of a stiff hair on the margin of the eyelid,
