Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-C,0,vyAdhi viniScaya/ nidAna,,,
2,2,SAT-C.1,1,vyAdhiH,disease/ syndrome,"the term signifies disease or ailment which brings about grief or pain to the individual; the word meaning implies an abnormal state of distress or pain, wherein the mind resolves to counteract the disturbances in the body to bring a healthy state. vyadhi brings about distress to physical and mental wellbeing of individual",
3,3,SAT-C.2,2,vyAdhiparyAyaH,synonym of disease,,
4,4,SAT-C.3,3,AmayaH,disease/ syndrome,"the structure of the word signifies the diseases originating in the body secondary to disturbances in the process of digestion, due to accumulation of ?ma in body channels",
5,5,SAT-C.4,3,gadaH,disease/ syndrome,the term implies diseases that arise out of multiple factors simultaneously.,
6,6,SAT-C.5,3,Ata~gkaH,disease/ syndrome,"the term signifies that disease makes life miserable by causing fear, terror or distress in the person.",
7,7,SAT-C.6,3,yakShmA,disease/ syndrome,the term implies diseases characterised by a constellation of symptoms which occur together.,
8,8,SAT-C.7,3,jvara:,disease/ syndrome,jwara is the most important among diseases and here the term implies the ability of a disease to cause anguish to mind and body.,
9,9,SAT-C.8,3,vikAraH,disorder/ disease/ syndrome,vikara is the condition which causes deviation from the normal physiological state of health of an individual.,
10,10,SAT-C.9,3,rogaH,disease/ syndrome,"literally, the opposite of ease, when something is wrong with a bodily function. an interruption, cessation, or disorder of functions at the level of psyche, mind or body.",
11,11,SAT-C.10,3,pApmA,disease/ syndrome/ skin disease,"the term literally signifies disease, originating from physical or mental si ns of the individual in present or past life. .",
12,12,SAT-C.11,3,vyAdhisa~gkaraH,co-morbidity,"a disease that gives rise to another disease and still continues to exist. it  can also signify a condition when two or more diseases co-exist together and may produce as a result of similarity in etiology, or pathogenic mechanism.",
13,13,SAT-C.12,2,vyAdhiBedaH,disease classification,the term signifies the categorization of diseases as per various criteria.,
14,14,SAT-C.13,13,dvividha-mAnasika-rogaH,two types of psychological disease,"the diseases which affects the psyche, can be classified as rajasika and tamasika",
15,15,SAT-C.14,14,rAjasa-rogaH,diseases caused by rajas,"disorders of psyche caused by increase in rajo guna in the individual such as excessive anger, jealousy etc",
16,16,SAT-C.15,14,tAmasa-rogaH,diseases caused by tamas,"�disorders of psyche caused by increase in tamo guna in the individual such as grief, slothfulness, excessive sleepiness etc",
