Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-D,0,li~ggam/ lakShaNam/ cihnam/ saMsthAnam/ vya~jjanam/ AkRutiH,,signs and symptoms,
2,2,SAT-D.1,1,aMsaH avanunnata iva,,constricting feeling in shoulder,
3,3,SAT-D.2,1,aMsaH avapATita iva,,splitting type of pain in shoulder,
4,4,SAT-D.3,1,aMsaH caTita iva,,feeling as if shoulder is broken,
5,5,SAT-D.4,1,aMsaH Bagna iva,,breaking type of pain in shoulder,
6,6,SAT-D.5,1,aMsaH mathita iva,,feeling as if shoulder is being churned,
7,7,SAT-D.6,1,aMsaH mRudita iva,,feeling as if shoulder is being crushed,
8,8,SAT-D.7,1,aMsaH rugNa iva,,cutting type of pain in shoulder,
9,9,SAT-D.8,1,aMsadAhaH,,burning in shoulder,
10,10,SAT-D.9,1,aMsadeSe sPoTasanniBaH eka piTikA,,single vesicular lesion in the shoulder region,
11,11,SAT-D.10,1,aMsadeSe sPoTAH,,vesicular lesions in shoulder,
12,12,SAT-D.11,1,aMsapIDanam,,squeezing pain in shoulder,
13,13,SAT-D.12,1,aMsabandhanaSoShaH,,atrophy of the structure binding the shoulder joints/ wasting of shoulder region,
14,14,SAT-D.13,1,aMsayoH SUlam,,pain in shoulders,
15,15,SAT-D.14,1,aMsayoH saMkocaH/ aMsasaMlocaH,,contraction of shoulders,
16,16,SAT-D.15,1,aMsarujA,,pain in shoulder,
17,17,SAT-D.16,1,aMsavyathA,,pain in scapular regions,
18,18,SAT-D.17,1,aMsasantApaH/ aMsABitApaH/ aMsatApaH,,burning sensation in shoulders/ scapular region,
19,19,SAT-D.18,1,aMsasthitapiDikA,,eruption located at shoulder,
20,20,SAT-D.19,1,aMsAvamardanam/ aMsamardanam,,crushing type of pain in shoulders,
21,21,SAT-D.20,1,aMseShu AmalakapramANagaNDaH,,?malaka (fruit of Emblica officinalis) sized swelling in the shoulder,
22,22,SAT-D.21,1,aMseShu karkandhupramANagaNDaH,,karkandhu (fruit of Ziziphus oenoplia) sized swelling in the shoulder,
23,23,SAT-D.22,1,aMseShu kolapramANagaNDaH,,kola (fruit of Ziziphus jujuba) sized swelling in the shoulder,
24,24,SAT-D.23,1,akasmAt aMsavikShepaNaH,,sudden movements of shoulders,
25,25,SAT-D.24,1,akasmAt akShivikShepaNaH,,sudden flickering of eyes,
26,26,SAT-D.25,1,akasmAt adharmaH praluptaH,,sudden loss of non-righteous things,
27,27,SAT-D.26,1,akasmAt AkulekShaNam,,sudden unclear vision,
28,28,SAT-D.27,1,akasmAt AcAraH praluptaH,,sudden loss of good behaviour,
29,29,SAT-D.28,1,akasmAt uShNaSItArtaH,,afflicted with sudden heat or cold,
30,30,SAT-D.29,1,akasmAt uShNaSItecCA,,sudden desire for heat or cold,
31,31,SAT-D.30,1,akasmAt oShTha-vikShepaNaH,,sudden movements of lips,
32,32,SAT-D.31,1,akasmAt kAShTha-aBidravaNam,,sudden self injury with wood,
33,33,SAT-D.32,1,akasmAt dInatA,,sudden distress or fear,
34,34,SAT-D.33,1,akasmAt duKaH praluptaH,,sudden lack of sorrow,
35,35,SAT-D.34,1,akasmAt dharmaH praluptaH,,sudden loss of righteous things,
36,36,SAT-D.35,1,akasmAt pAdavikShepaNam,,sudden movements of legs,
37,37,SAT-D.36,1,akasmAt baddhamalapravRuttiH,,"suddenly well formed, hard stools",
38,38,SAT-D.37,1,akasmAt bahuSo kopaH,,intermittent relapses without apparent reason,
39,39,SAT-D.38,1,akasmAt BramaNam,,suddenly start wandering,
40,40,SAT-D.39,1,akasmAt BrUvikShepaNam,,flickering of eyebrows,
41,41,SAT-D.40,1,akasmAt muShTi-aBidravaNam,,sudden self injury with fist,
42,42,SAT-D.41,1,akasmAt mlAnatA,,sudden onset of lethargy,
43,43,SAT-D.42,1,akasmAt mlAnapiDakA,,sudden drying of nodule,
44,44,SAT-D.43,1,akasmAt raktaH,,suddenly becomes blood-red,
45,45,SAT-D.44,1,akasmAt rodanam,,sudden cry,
46,46,SAT-D.45,1,akasmAt loShTra aBidravaNam,,sudden self injury with stone,
47,47,SAT-D.46,1,akasmAt vRuddhi-hAniH,,sudden regression or progression,
48,48,SAT-D.47,1,akasmAt vRuddhihAnimAn,,sudden increase and decrease,
49,49,SAT-D.48,1,akasmAt vyakta-IkShaNam,,sudden clear vision,
50,50,SAT-D.49,1,akasmAt vyathASamanam,,sudden relief of pain,
51,51,SAT-D.50,1,akasmAt Sastra-aBidravaNam,,sudden self injury with instruments,
52,52,SAT-D.51,1,akasmAt SithilamalapravRuttiH,,sudden onset of loose stools,
53,53,SAT-D.52,1,akasmAt Srotra-SUnyatA,,occasional feeling of blockage of ears,
54,54,SAT-D.53,1,akasmAt suKaH praluptaH,,sudden lack of happiness,
55,55,SAT-D.54,1,akasmAt hanu-vikShepaNaH,,sudden movements of jaws,
56,56,SAT-D.55,1,akasmAt hasta-vikShepaNaH,,sudden movements of hands,
57,57,SAT-D.56,1,akasmAd hAsaH,,sudden laughing,
58,58,SAT-D.57,1,akAla-palitam,,premature graying,
59,59,SAT-D.58,1,akRuSatvam,,not emaciated,
60,60,SAT-D.59,1,akopanam,,not getting angry,
