Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-F,0,dravyam,material or substance used for therapeutic purpose or health benefits,"akin to the term 'drug' in modern pharmacology; substance wherein properties and actions embodies in an inseparable manner and is the substratum for rasa, gu?a, v?rya, vip?ka and prabh?va",
2,2,SAT-F.1,1,dravyaguNa-vij~jAnam,pharmacognosy and pharmacology,"branch of Ayurveda which deals with substances used for health benefits in all their aspects like properties, actions, uses, sources, processing, quality etc.",
3,3,SAT-F.2,2,oShadhiH,medicine / drug,herb used in medicine,
4,4,SAT-F.3,3,BeShajam,medicine,"medicine, drug or remedy",
5,5,SAT-F.4,4,dravya-prAdhAnyam,importance of�dravya,"factors which make dravya superior or more important that gu?a, v?rya etc.",
6,6,SAT-F.5,4,vyavasthitatvam,stability,dravya is relatively stable than its properties and actions,
7,7,SAT-F.6,4,nityatvam,eternalness,fact of dravya being more eternal than gu?a and karma,
8,8,SAT-F.7,4,svajAtyavasthAnam,remains the same throughout,dravya remains the same even though gu?a and karma change by processing,
9,9,SAT-F.8,4,pa~jcendriyagrahaNatvam,perceivablity by all five senses,perceptible by all five senses i.e. dravya can be percieved by all five senses,
10,10,SAT-F.9,4,ASrayatvam,ability of being the substratum,an attribute of being the substratum of properties and actions,
11,11,SAT-F.10,4,AramBasAmarthyam,action-initiating ability,"action initiating ability of dravya, only dravya can initiate any action, not their properties",
12,12,SAT-F.11,4,SAstraprAmANyatvam,texual acceptability,"texts describe dravya as more important than gu?a, karma etc.",
13,13,SAT-F.12,4,kramApekShitatvam,dependance of gu?a and karma on state of dravya,properties and actions of a substance depends upon the state of dravya,
14,14,SAT-F.13,4,ekadeSasAdhyatvam,usefulness of each part,different parts different effects; properties and actions are specific to the part of the substance;,
15,15,SAT-F.14,2,niGaNTuH,"lexicon, thesaurus","texts containing various information of medicinal substances like synonyms, pharmacological properties and actions",
16,16,SAT-F.15,2,dravya-nAmarUpavij~jAnam,nomenclature and morphology,the branch which deals with the nomenclature and morphology of dravya�,
17,17,SAT-F.16,2,dravyanAmakaraNa-AdhAraH,basis of nomenclature,seven criteria on the basis of which dravya are named,
18,18,SAT-F.17,17,rUDhiH,nomenclature based on local term,tradition based nomenclature of plants or popular usage,
19,19,SAT-F.18,17,praBAvaH,nomenclature based on specific action,naming a plant based on its specific action like k?mighna etc,
20,20,SAT-F.19,17,deSyoktiH,nomenclature based on habitat,nomenclature on the basis of their place of origin,
