Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-G,0,auShadhakalpanA,preparation of medicines,various preparations of medicine,
2,2,SAT-G.1,1,BaiShajyakalpanA,ayurvedic pharmaceutics,"preparation of medicines,  specifically indicating compounds containing plant, mineral and animal origin ingredients",
3,3,SAT-G.2,1,rasaSAstram,"science dealing with study of metals especially mercury, minerals and their therapeutic applications","branch of ayurvedic pharmaceutics in which various metals, Minerals and other substances, including mercury, are purified and combined with herbs for therapeutic purpose",
4,4,SAT-G.3,2,anupAnam,co-administers with medicine,"adjunct administered either along with or just after the principal medicine to enhance its therapeutic action. (When administered with the principal medicine it is described as Sahap?na, though in practice, the term Anup?na connotes both)",
5,5,SAT-G.4,3,amRutIkaraNam,purifying procedure,process adopted to remove the residual do?a and to enhance the therapeutic action of drugs (as in the case of T?mra Bhasma),
6,6,SAT-G.5,3,kajjalI,black mixture of mercury and sulphur,"when sulphur (gandhaka) is added to mercury (p?rada) and triturated without adding any liquid till it becomes a very fine black powder, akin to Aethiops Mineralis",
7,7,SAT-G.6,2,kA~jjikam,sour rice gruel,"powder of ??udhanya such as kulm??a, ?a??ika rice etc., along with small quantity of white radish (m?laka), cut into pieces, and placed in an closed earthen pot with water and kept for two to three weeks making a sour fluid called k??jika, dh?ny?mla or ?r",
8,8,SAT-G.7,3,kUpIpAkaH,processing by heating medicines in glass flask/bottle,"process by which, formulations are prepared in a k?ca k?pi which, is heated as directed",
9,9,SAT-G.8,2,GanaH,thick liquid concentrate,desired drug is taken with eight or sixteen times of water and boiled with mild heat until one-eighth remains then filtered and boiled again to get a semi solid concentrate,
10,10,SAT-G.9,2,Ganasattvam,semisolid extract,desired drug is washed well with water and cut into small pieces and added with four times water and boiled on mild heat till one-fourth water remains and then filtered and further heated till the water is evaporated and the decoction is reduced to a semi,
