Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-I,0,cikitsA,treatment,"various interventions such as drugs, procedures and life style modifications used for the management of various disease conditions",
2,2,SAT-I.1,1,kAya-cikitsA,general medicine,one among the eight clinical branches of�?yurveda. It deals with management of generalised systemic diseases,
3,3,SAT-I.2,2,kAyaH,digestive/metabolic factors of the body,all factors responsible for digestion and metabolism / transformation,
4,4,SAT-I.3,2,cikitsA,disease management/ treatment,treatment which eradicate or normalise the impaired�do?a�and establishes the equilibrium of all the dh?tu restoring the normal structure and function of bodily elements,
5,5,SAT-I.4,4,vyAdhiharam,removal of disease,synonym of�cikits?; Removal of disease e.g. jvara niv?tti in jvara,
6,6,SAT-I.5,4,pathyam,compatible to health,synonym of�cikits?; the dietary and behavioural practices helpful in treating the disease or maintaining health. e.g l?ja in chardi,
7,7,SAT-I.6,4,sAdhanam,practice towards mitigating the cause and effect of the disease,synonym of�cikits?; instrument by which the disease is cured and health is restored,
8,8,SAT-I.7,4,auShadham,medicine,synonym of�cikits?; therapeutic measures by which the disease is cured and health is restored,
9,9,SAT-I.8,4,upakramaH,therapeutic methods/ measures,synonym of�cikits?; the therapeutic measures to counteract the disease condition,
10,10,SAT-I.9,4,prAyaScittam,repentance/ atonement,synonym of�cikits?; atonement to cure the diseases caused due to wrong deeds [also mentioned as a type of�daivavyapa?raya cikits?],
11,11,SAT-I.10,4,praSamanam,subsiding the disease,synonym of�cikits?; the process of subsidence of disease  e.g alleviation of�burning sensation (d?hapra?amana)� in case of�d?ha,
12,12,SAT-I.11,4,prakRuti-sthApanam,restoration of health,synonym of�cikits?; process of restoration of health,
13,13,SAT-I.12,4,hitam,conducive to health,"synonym of�cikits?; wholesome� ?h?ra�(food),�vih?ra�(all activities such as daily routine etc.�and au?adha� (medication) which are conducive to health",
14,14,SAT-I.13,4,vAraNam,warding off diseases,synonym of�cikits?; the process by which the disease is ward off,
15,15,SAT-I.14,4,daivavyapASrayaH,spiritual therapy,"one of the classifications of treatment; spiritual therapies are incantation of mantra, talisman, wearing of gems, auspicious offerings, gifts, oblations, atonement, fasting, going to pilgrimage etc.",
16,16,SAT-I.15,15,mantra-cikitsA,treatment through chanting of auspicious hymns,type of daivavyap??raya cikits?; treatment of diseases by incantation of appropriate mantra under specified conditions,
17,17,SAT-I.16,15,maNiH,wearing of gems,type of�daivavyap??raya cikits?; treatment of diseases by wearing appropriate gems or precious stones according to the disease,
18,18,SAT-I.17,15,ma~ggalam,auspicious offerings,type of�daivavyap??raya cikits?,
19,19,SAT-I.18,15,baliH,offerings  to God exclusive of animal sacrifice,type of�daivavyap??raya cikits?; type of treatment where something auspicious is offered to God for the cure of ailment,
20,20,SAT-I.19,15,upahAraH,offerings to God inclusive of animal sacrifice,type of�daivavyap??raya cikits?; type of treatment with offerings inclusive of animal sacrifice for the cure of ailment,
21,21,SAT-I.20,15,homam,oblations or offerings given through fire,type of�daivavyap??raya cikits?; process of offering of various things in to fire for the cure of ailment,
22,22,SAT-I.21,15,niyamaH,practicing auspicious rules,type of�daivavyap??raya cikits?; practice of following of certain rules to cure the ailment,
23,23,SAT-I.22,15,prAyaScittam,atonement,type of�daivavyap??raya cikits?,
24,24,SAT-I.23,15,upavAsaH,fasting,type of�daivavyap??raya cikits?; practice of fasting for the cure of ailment,
25,25,SAT-I.24,15,svastyayanam,blessings from elders,type of�daivavyap??raya cikits?; taking blessings (??irv?da) to get cured from ailment,
26,26,SAT-I.25,15,praNipAtagamanam,pilgrimage,type of daivavyap??raya cikits?; visiting to some holy place to get cured from disease,
27,27,SAT-I.26,4,yuktivyapASraya-cikitsA,logic based treatment,"rational and logical therapeutic intervention within the ambit of human intelligence; one of the classifications of treatment wherein modalities like administration of medicine, diet and other logical methods are applied for treatment",
28,28,SAT-I.27,27,AhAradravyayojanam,therapeutic dietetics,administration of proper diet for the management of diseases,
29,29,SAT-I.28,27,auShadhadravyayojanam,therapeutic medication,administration of medicines  for the management of diseases,
30,30,SAT-I.29,29,aBeShajam,detrimental to health,antonym of medicine; substances with adverse effect to health,
31,31,SAT-I.30,30,bAdhanam,immediately detrimental to health,"one of the two types of abhe?aja e.g. poison, burn by fire or cut by sharp instrument etc. that produce immediate effect after their use",
32,32,SAT-I.31,30,sAnubAdhanam,detrimental to health in long  term,one of the two types of�abhe?aja e.g. use of incompatible food articles constantly for a long time causes diseases like�ku??a,
33,33,SAT-I.32,29,BeShajam,therapeutic measures,procedure or medicine used for the treatment of disease,
34,34,SAT-I.33,33,svasthasyorjaskaram,which improves vitality in healthy,medicine or regimen which tones up the health of a healthy person; a feature of�ras?yana� therapy,
35,35,SAT-I.34,33,rasAyanam,rejuvenation,the procedures or medicines used to improve health and longevity,
36,36,SAT-I.35,33,vAjIkaraNam,aphrodisiac  therapy,one among the eight clinical branches of�?yurveda concerned with aphrodisiac management,
37,37,SAT-I.36,33,Artasyaroganut,curative medicine,medicine which cures the ailments of a patient,
38,38,SAT-I.37,33,saMSamanam,palliative procedure,"therapy which is aimed at mitigating the disease by pacifying�do?a�(in contrast to purifying therapies, which remove the�do?a�from the body)",
39,39,SAT-I.38,4,dvividhopakramaH,two fold therapeutic regimen,a broad classification of therapeutic measures into two sub categories - santarpa?am and apatarpa?am,
40,40,SAT-I.39,39,santarpaNam,nourishing procedure,a procedure of alleviation of disease by nourishing of bodily tissues,
41,41,SAT-I.40,39,apatarpaNam,depleting procedure,a procedure of alleviation of disease by depletion of bodily tissues,
42,42,SAT-I.41,4,ShaDvidhopakramAH,six types of treatment modalities,"sub division of therapeutic measures in six sub categories namely b??ha?am, snehanam, stambhanam, la?ghanam, svedanam and r?k?a?am",
43,43,SAT-I.42,4,bRuMhaNam/bRuMhaNacikitsA,nourishing therapy,one among the ?a?vidhopakram??; procedure which is nutritive/ nourishing/ increasing body weight / growth promoting or bulk enhancing,
44,44,SAT-I.43,4,snehanam/snehana-karma,therapeutic oleation,one among the ?a?vidhopakram?? which involves the lubricating of bodily systems internally or externally,
