Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
1,1,SAT-J,0,svasthavRuttaH,Preventive and Promotive Health,,
2,2,SAT-J.1,1,trayopastamBaH,three sub-pillars of life,"ahara (diet), nidra (sleep) and brahmacharya (celibacy); the three sub-pillars of life; which if observed properly, body continues well endowed with strength, complexion and development",
3,3,SAT-J.2,2,AhAraH,diet/ food,"one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.one among the three sub-pillars of life which includes substances consumed for the purpose of nutrition and energy in various forms such as eatable, drinkable, lickable etc.",
4,4,SAT-J.3,2,nidrA,sleep,one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects one among the three sub-pillars of life; which is needed for proper maintenance of health and occurs when the mana (mind) & indriya's (sense organs) get exhausted and withdraw themselves from the objects,
5,5,SAT-J.4,2,brahmacaryam,celibacy,"one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)one among the three sub-pillars of life; avoidance of sexual act physically, mentally & verbally in all ways which helps to attain the knowledge about Bramha (supreme God)",
6,6,SAT-J.5,1,RutucaryA,seasonal regimens,"conduct to prevent the injurious impact of each season on human being which includes diet, regimen and purification procedures that are appropriate to the climatic conditions",
7,7,SAT-J.6,6,RutusandhiH,transition period between two seasons,transition period between two seasons which includes the last week of outgoing season and first week of incoming season during which the regimen of the outgoing season should be discontinued gradually and that of the succeeding season should be gradually adopted,
8,8,SAT-J.7,6,RutuviparyayaH,abnormality of season/ seasonal symptoms contradictory to natural symptoms of the particular season,climatic conditions which are not normally seen during the particular season e.g cloudy sky in the summer season and rain in the autumn which leads to vitiation of do?a,
9,9,SAT-J.8,6,yamadaMShTrA-kAlaH,junction period of K?rtika and M?rga??r?a months,period between November-December during this period small quantities of food should be taken to maintain the health,
10,10,SAT-J.9,1,dinacaryA,daily regimen,"classically prescribed daily routine or regimen for maintenance of the health done with due consideration of the body, age, season etc.",
